T				 dN/dT
1.251834436616250596e-03 0.000000000000000000e+00
1.321515969359548029e-03 0.000000000000000000e+00
1.395076222693550534e-03 0.000000000000000000e+00
1.472731099926182690e-03 0.000000000000000000e+00
1.554708522307188517e-03 0.000000000000000000e+00
1.641249097989277723e-03 0.000000000000000000e+00
1.732606828226016448e-03 1.036881623731753521e+00
1.829049852879205320e-03 0.000000000000000000e+00
1.930861237423820050e-03 0.000000000000000000e+00
2.038339803760429430e-03 0.000000000000000000e+00
2.151801007273589778e-03 0.000000000000000000e+00
2.271577862710393893e-03 0.000000000000000000e+00
2.398021921596694538e-03 0.000000000000000000e+00
2.531504304059793362e-03 7.096603306021018742e-01
2.672416788085998311e-03 6.722410176993325326e-01
2.821172959410144041e-03 0.000000000000000000e+00
2.978209425412005427e-03 0.000000000000000000e+00
3.143987096582478991e-03 0.000000000000000000e+00
3.318992539320730645e-03 0.000000000000000000e+00
3.503739404032791670e-03 5.127402395486199138e-01
3.698769932723172758e-03 0.000000000000000000e+00
3.904656550504388441e-03 4.600937772894810873e-01
4.122003545695506095e-03 0.000000000000000000e+00
4.351448843440913414e-03 0.000000000000000000e+00
4.593665878055022168e-03 0.000000000000000000e+00
4.849365569588264153e-03 0.000000000000000000e+00
5.119298410415737410e-03 0.000000000000000000e+00
5.404256667972800847e-03 0.000000000000000000e+00
5.705076710102682282e-03 0.000000000000000000e+00
6.022641459841156925e-03 5.965848019739479202e-01
6.357882986843270759e-03 0.000000000000000000e+00
6.711785243057996966e-03 0.000000000000000000e+00
7.085386950680213312e-03 2.535511742470530350e-01
7.479784650856363334e-03 2.401818053858003621e-01
7.896135922091799056e-03 4.550347661350269690e-01
8.335662777806054566e-03 0.000000000000000000e+00
8.799655253008135253e-03 0.000000000000000000e+00
9.289475190618779604e-03 3.867835683880110897e-01
9.806560238552784053e-03 1.831945287275182077e-01
1.035242806929318263e-02 0.000000000000000000e+00
1.092868083434172036e-02 3.287694477625262568e-01
1.153700986661987220e-02 6.228678668421885334e-01
1.217920064462214326e-02 0.000000000000000000e+00
1.285713803289163966e-02 5.589138661322040624e-01
1.357281181419908896e-02 0.000000000000000000e+00
1.432832252966254570e-02 2.507632247418437599e-01
1.512588764394872699e-02 3.563112903443581003e-01
1.596784805365133314e-02 2.250156909438894293e-01
1.685667495794874321e-02 1.065754774189647397e-01
1.779497711170672722e-02 4.038236565435873171e-01
1.878550848231459389e-02 2.868979857049381854e-01
1.983117633272793445e-02 9.059009668402119575e-02
2.093504975444201652e-02 2.574402548470462460e-01
2.210036867544075412e-02 8.128860688808708934e-02
2.333055336955998718e-02 3.080095277437613355e-01
2.462921449517544922e-02 2.917686524987029850e-01
2.600016369267972235e-02 1.381920669865243645e-01
2.744742477185225377e-02 3.927162266637212462e-01
2.897524552195783476e-02 2.480059304385572039e-01
3.058811017923706438e-02 1.761967154047164030e-01
3.229075258838137036e-02 2.781768830600291897e-01
3.408817009662234998e-02 2.108072303379765478e-01
3.598563822121513683e-02 1.996916848100355191e-01
3.798872613336588822e-02 3.783244902780365515e-01
4.010331300404948451e-02 2.239850085650394451e-01
4.233560525969307098e-02 3.394793900443199841e-01
4.469215479837215788e-02 5.225661296211818740e-01
4.717987821998464310e-02 4.569341632370876316e-01
4.980607712684414351e-02 2.164203589169778619e-01
5.257845955427634804e-02 3.758495429927326548e-01
5.550516259411819586e-02 2.589320484621114304e-01
5.859477627752077838e-02 2.759388235476575302e-01
6.185636878715384396e-02 4.646915340333541700e-01
6.529951307281056661e-02 3.301417906752006637e-01
6.893431494853123620e-02 3.387950743378459473e-01
7.277144275371190407e-02 1.974959531771085519e-01
7.682215866525558823e-02 4.209351549859485231e-01
8.109835175266850993e-02 4.651965298036072616e-01
8.561257287311960229e-02 2.727941185931710422e-01
9.037807150888287067e-02 3.776762977521533338e-01
9.540883465528200713e-02 4.330803150473806484e-01
1.007196278732752359e-01 3.567344755483157215e-01
1.063260386271725616e-01 5.068866115587372656e-01
1.122445220346838385e-01 3.681220911435225673e-01
1.184924491635756527e-01 4.700025530289284603e-01
1.250881580166915974e-01 3.446864758085179670e-01
1.320510073549791275e-01 4.353489076257552326e-01
1.394014335164956708e-01 5.412666262670793316e-01
1.471610103981628170e-01 4.761031395658459342e-01
1.553525127763163705e-01 4.163067167207705754e-01
1.639999831519015627e-01 4.381727721705266365e-01
1.731288023165102052e-01 5.084590184174675453e-01
1.827657638463711653e-01 4.128417818979066012e-01
1.929391527429403508e-01 4.841859420525701507e-01
2.036788284509050695e-01 4.057337572596295683e-01
2.150163124972632178e-01 5.263787389426213270e-01
2.269848810087029267e-01 3.878183449684068917e-01
2.396196623788291180e-01 4.873265850882707029e-01
2.529577403718912820e-01 5.397526937941854452e-01
2.670382629656293250e-01 4.911097600072358293e-01
2.819025572526995815e-01 3.696223103939352272e-01
2.975942507379182866e-01 3.682429979409525544e-01
3.141593993873384449e-01 3.774184067058021785e-01
3.316466228049941289e-01 4.821072103401012332e-01
3.501072469340577031e-01 3.694541892211167244e-01
3.695954547012481051e-01 4.277453035392014269e-01
3.901684450466429976e-01 3.959820573822747658e-01
4.118866008056492611e-01 4.623356692097518872e-01
4.348136659358782796e-01 4.007723474258292340e-01
4.590169326090989821e-01 3.757264125928904686e-01
4.845674387173875552e-01 3.596223758889123823e-01
5.115401763731677320e-01 4.003633382714506528e-01
5.400143120151047471e-01 3.692724501774442558e-01
5.700734187658688112e-01 3.624067252623779378e-01
6.018057217237516854e-01 3.612087457717535477e-01
6.353043569080889519e-01 3.421627564464411186e-01
6.706676446184918206e-01 3.214423470262960381e-01
7.079993780102291634e-01 3.044931795937921848e-01
7.474091277327304939e-01 3.196851352926266543e-01
7.890125635253447678e-01 3.392591340036614223e-01
8.329317937142634021e-01 3.343116089565137949e-01
8.792957236070365612e-01 2.982957694820061456e-01
9.282404338365951579e-01 2.786963039777031748e-01
9.799095797652475071e-01 2.896678413121236417e-01
1.034454813120907257e+00 2.952341532505934341e-01
1.092036227103084567e+00 2.928276996146600974e-01
1.152822826265061051e+00 2.929708975195155496e-01
1.216993022551358328e+00 2.671896837508504485e-01
1.284735158946406886e+00 2.475077807926584772e-01
1.356248062271363741e+00 2.662478601772377829e-01
1.431741626751542817e+00 2.346422173061715466e-01
1.511437430067275267e+00 2.294015432601347326e-01
1.595569383696350707e+00 1.936609027146073414e-01
1.684384419456806503e+00 1.909154233114511157e-01
1.778143214265116567e+00 1.980243215044456273e-01
1.877120955237000066e+00 2.038527360518647413e-01
1.981608147376431539e+00 1.758786607944332336e-01
2.091911466223478566e+00 1.648872700334328978e-01
2.208354657963550238e+00 1.700226041799986210e-01
2.331279489639894287e+00 1.587457389817924502e-01
2.461046752258280179e+00 1.474554078656272194e-01
2.598037319728059291e+00 1.431377412146795092e-01
2.742653266747608232e+00 1.257649207791626256e-01
2.895319048915231175e+00 1.290613211896821932e-01
3.056482748529231852e+00 1.163784157055783863e-01
3.226617389733588137e+00 1.208207321361105535e-01
3.406222326869326356e+00 1.065387452157749854e-01
3.595824710106415800e+00 1.034191662602805262e-01
3.795981032657916643e+00 9.181357445715998544e-02
4.007278764117571335e+00 7.397135746465131889e-02
4.230338074714715013e+00 7.983842712491565075e-02
4.465813655547306027e+00 7.200814661407950457e-02
4.714396640135609218e+00 6.287630688463263784e-02
4.976816632936310825e+00 5.198045200236524332e-02
5.253843850770906876e+00 6.360115207461991549e-02
5.546291383453610280e+00 5.279759271789734310e-02
5.855017580253765175e+00 4.510433983111838269e-02
6.180928569197187805e+00 4.592324429475537484e-02
6.524980916600797265e+00 4.129915943744028040e-02
6.888184434646289489e+00 3.781746681811018473e-02
7.271605145233286827e+00 3.878810507955407494e-02
7.676368408811113930e+00 3.416852611900837722e-02
8.103662227372337767e+00 2.948488984537288998e-02
8.554740731302620915e+00 3.255022879755411352e-02
9.030927860321041223e+00 2.745212151612316104e-02
9.533621249314492729e+00 2.581617356167140165e-02
1.006429633047136996e+01 2.820349116631983705e-02
1.062451066375462361e+01 2.367272746457697169e-02
1.121590850842415321e+01 2.034222540766785978e-02
1.184022564902632269e+01 2.670434240767965289e-02
1.249929449001521675e+01 1.925965473425885616e-02
1.319504943395843455e+01 1.878872301810708897e-02
1.392953255911285027e+01 1.599242569991283364e-02
1.470489961303435678e+01 1.392746214269888552e-02
1.552342633981323061e+01 1.377173240621013331e-02
1.638751515950550797e+01 9.976023998189271352e-03
1.729970221936540042e+01 8.411541472986817924e-03
1.826266483757428460e+01 8.164754726506741681e-03
1.927922936131364295e+01 6.243301840232978392e-03
2.035237946224645000e+01 6.267182719923521453e-03
2.148526489375444370e+01 5.184181242067827967e-03
2.268121073563380463e+01 4.356378992522297149e-03
2.394372715338366575e+01 3.451399851503358669e-03
2.527651970073118193e+01 3.269412772013651543e-03
2.668350019563113662e+01 2.019796692527491867e-03
2.816879820166258597e+01 1.594413230268415266e-03
2.973677314852070452e+01 1.449928549301832603e-03
3.139202712717754551e+01 8.584225099871424297e-04
3.313941839726722094e+01 9.215804187225306839e-04
3.498407564633995293e+01 6.162260336391524361e-04
3.693141304283607695e+01 3.405111322112718171e-04
3.898714612696232962e+01 3.686359961797289544e-04
4.115730858611067333e+01 2.618987844038878640e-04
4.344826996405547703e+01 8.269641957325304905e-05
4.586675435590800021e+01 3.916798139671018791e-05
4.841986014369820879e+01 1.113081394292396778e-04
5.111508083050804174e+01 0.000000000000000000e+00
5.396032703430706334e+01 3.329312997301684068e-05
5.696394970604286101e+01 0.000000000000000000e+00
6.013476464013150746e+01 2.987470213096784391e-05
