x=T/M_DM				 dN/dlgx
1.258925411794166266e-09 0.000000000000000000e+00
1.412537544622755480e-09 0.000000000000000000e+00
1.584893192461117339e-09 0.000000000000000000e+00
1.778279410038930059e-09 0.000000000000000000e+00
1.995262314968891048e-09 0.000000000000000000e+00
2.238721138568355925e-09 0.000000000000000000e+00
2.511886431509602671e-09 0.000000000000000000e+00
2.818382931264483669e-09 0.000000000000000000e+00
3.162277660168417986e-09 0.000000000000000000e+00
3.548133892335803769e-09 0.000000000000000000e+00
3.981071705535034307e-09 0.000000000000000000e+00
4.466835921509707887e-09 0.000000000000000000e+00
5.011872336272817284e-09 0.000000000000000000e+00
5.623413251903605968e-09 0.000000000000000000e+00
6.309573444802071913e-09 0.000000000000000000e+00
7.079457843841547294e-09 0.000000000000000000e+00
7.943282347243017172e-09 0.000000000000000000e+00
8.912509381337696217e-09 0.000000000000000000e+00
1.000000000000028641e-08 0.000000000000000000e+00
1.122018454301997436e-08 0.000000000000000000e+00
1.258925411794207295e-08 0.000000000000000000e+00
1.412537544622801719e-08 0.000000000000000000e+00
1.584893192461169204e-08 0.000000000000000000e+00
1.778279410038988334e-08 0.000000000000000000e+00
1.995262314968956396e-08 0.000000000000000000e+00
2.238721138568429461e-08 0.000000000000000000e+00
2.511886431509684976e-08 0.000000000000000000e+00
2.818382931264576148e-08 0.000000000000000000e+00
3.162277660168521466e-08 0.000000000000000000e+00
3.548133892335919905e-08 0.000000000000000000e+00
3.981071705535164836e-08 0.000000000000000000e+00
4.466835921509854298e-08 0.000000000000000000e+00
5.011872336272981066e-08 0.000000000000000000e+00
5.623413251903789602e-08 0.000000000000000000e+00
6.309573444802277716e-08 0.000000000000000000e+00
7.079457843841779235e-08 0.000000000000000000e+00
7.943282347243275914e-08 0.000000000000000000e+00
8.912509381337987053e-08 0.000000000000000000e+00
1.000000000000061365e-07 0.000000000000000000e+00
1.122018454302034096e-07 0.000000000000000000e+00
1.258925411794248488e-07 0.000000000000000000e+00
1.412537544622847843e-07 0.000000000000000000e+00
1.584893192461221018e-07 0.000000000000000000e+00
1.778279410039046568e-07 0.000000000000000000e+00
1.995262314969021644e-07 0.000000000000000000e+00
2.238721138568502650e-07 0.000000000000000000e+00
2.511886431509767032e-07 0.000000000000000000e+00
2.818382931264668262e-07 0.000000000000000000e+00
3.162277660168624831e-07 0.000000000000000000e+00
3.548133892336036372e-07 0.000000000000000000e+00
3.981071705535294803e-07 0.000000000000000000e+00
4.466835921510000147e-07 0.000000000000000000e+00
5.011872336273145311e-07 0.000000000000000000e+00
5.623413251903974229e-07 0.000000000000000000e+00
6.309573444802484445e-07 0.000000000000000000e+00
7.079457843842010051e-07 0.000000000000000000e+00
7.943282347243536641e-07 0.000000000000000000e+00
8.912509381338278750e-07 0.000000000000000000e+00
1.000000000000093975e-06 0.000000000000000000e+00
1.122018454302070837e-06 0.000000000000000000e+00
1.258925411794289781e-06 0.000000000000000000e+00
1.412537544622894112e-06 0.000000000000000000e+00
1.584893192461272899e-06 0.000000000000000000e+00
1.778279410039104589e-06 0.000000000000000000e+00
1.995262314969087077e-06 0.000000000000000000e+00
2.238721138568576025e-06 0.000000000000000000e+00
2.511886431509849088e-06 0.000000000000000000e+00
2.818382931264760483e-06 0.000000000000000000e+00
3.162277660168728592e-06 0.000000000000000000e+00
3.548133892336152309e-06 0.000000000000000000e+00
3.981071705535424823e-06 0.000000000000000000e+00
4.466835921510146260e-06 0.000000000000000000e+00
5.011872336273309423e-06 0.000000000000000000e+00
5.623413251904157823e-06 0.000000000000000000e+00
6.309573444802691121e-06 0.000000000000000000e+00
7.079457843842242350e-06 0.000000000000000000e+00
7.943282347243795833e-06 0.000000000000000000e+00
8.912509381338570765e-06 0.000000000000000000e+00
1.000000000000126798e-05 0.000000000000000000e+00
1.122018454302107513e-05 0.000000000000000000e+00
1.258925411794330947e-05 0.000000000000000000e+00
1.412537544622940318e-05 0.000000000000000000e+00
1.584893192461324864e-05 0.000000000000000000e+00
1.778279410039162781e-05 0.000000000000000000e+00
1.995262314969152044e-05 0.000000000000000000e+00
2.238721138568648954e-05 0.000000000000000000e+00
2.511886431509931505e-05 0.000000000000000000e+00
2.818382931264852640e-05 0.000000000000000000e+00
3.162277660168832184e-05 0.000000000000000000e+00
3.548133892336268353e-05 0.000000000000000000e+00
3.981071705535555604e-05 0.000000000000000000e+00
4.466835921510292797e-05 0.000000000000000000e+00
5.011872336273473239e-05 0.000000000000000000e+00
5.623413251904341799e-05 0.000000000000000000e+00
6.309573444802898305e-05 0.000000000000000000e+00
7.079457843842473590e-05 0.000000000000000000e+00
7.943282347244056719e-05 0.000000000000000000e+00
8.912509381338862822e-05 0.000000000000000000e+00
1.000000000000159561e-04 0.000000000000000000e+00
1.122018454302144207e-04 7.062397433796766448e-06
1.258925411794372079e-04 0.000000000000000000e+00
1.412537544622986634e-04 0.000000000000000000e+00
1.584893192461376567e-04 0.000000000000000000e+00
1.778279410039221124e-04 7.072950427017808593e-06
